"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"OS","M6PR","ICB_Ravi__Lung__PD-L1",-0.0727251226019225,0.11179141318351,125,0.515341528055668,"Lung","PD-L1"
"OS","KLHL13","ICB_Ravi__Lung__PD-L1",-0.101891547438513,0.123517791181213,125,0.409420453125467,"Lung","PD-L1"
"OS","CYP26B1","ICB_Ravi__Lung__PD-L1",-0.0937037629283471,0.115903244179029,125,0.418822715112362,"Lung","PD-L1"
"OS","ICA1","ICB_Ravi__Lung__PD-L1",-0.0759236796361721,0.104600739055874,125,0.467935225726366,"Lung","PD-L1"
"OS","DBNDD1","ICB_Ravi__Lung__PD-L1",0.0987012750327004,0.126033750217967,125,0.433548613067024,"Lung","PD-L1"
"OS","ALS2","ICB_Ravi__Lung__PD-L1",-0.00488964304547293,0.11673885102047,125,0.96659012648695,"Lung","PD-L1"
"OS","CASP10","ICB_Ravi__Lung__PD-L1",-0.0266604922932983,0.112998297695136,125,0.813481467955918,"Lung","PD-L1"
"OS","CFLAR","ICB_Ravi__Lung__PD-L1",-0.243908937383535,0.102578600452874,125,0.0174174014560926,"Lung","PD-L1"
"OS","TFPI","ICB_Ravi__Lung__PD-L1",0.00880528439715213,0.116689465612943,125,0.939849422218098,"Lung","PD-L1"
"OS","NDUFAF7","ICB_Ravi__Lung__PD-L1",-0.0900749366141551,0.0974580621046874,125,0.355359786038413,"Lung","PD-L1"
"OS","RBM5","ICB_Ravi__Lung__PD-L1",-0.137630239420312,0.105184304806069,125,0.190714806839161,"Lung","PD-L1"
"OS","MTMR7","ICB_Ravi__Lung__PD-L1",-0.0722116843576449,0.10657625923678,125,0.498051464119575,"Lung","PD-L1"
"OS","SLC7A2","ICB_Ravi__Lung__PD-L1",0.200964957633729,0.136241183014202,125,0.140194364615229,"Lung","PD-L1"
"OS","ARF5","ICB_Ravi__Lung__PD-L1",0.00794554745876614,0.119578416660299,125,0.947022482178773,"Lung","PD-L1"
"OS","SARM1","ICB_Ravi__Lung__PD-L1",-0.0648178043165396,0.0953907483709273,125,0.496822496741809,"Lung","PD-L1"
"OS","POLDIP2","ICB_Ravi__Lung__PD-L1",0.0274260488605992,0.131111994701359,125,0.83430747582619,"Lung","PD-L1"
"OS","PLXND1","ICB_Ravi__Lung__PD-L1",-0.149776810162053,0.137470611350985,125,0.275925186152937,"Lung","PD-L1"
"OS","AK2","ICB_Ravi__Lung__PD-L1",0.269090690159694,0.193862886399853,125,0.165122902968467,"Lung","PD-L1"
"OS","CD38","ICB_Ravi__Lung__PD-L1",-0.0182384949603471,0.117080542423099,125,0.876208536006811,"Lung","PD-L1"
"OS","FKBP4","ICB_Ravi__Lung__PD-L1",0.290137284845936,0.199155499661976,125,0.145161124447444,"Lung","PD-L1"
"OS","KDM1A","ICB_Ravi__Lung__PD-L1",-0.0536574906892205,0.0960199122036708,125,0.576287106739541,"Lung","PD-L1"
"OS","RBM6","ICB_Ravi__Lung__PD-L1",-0.126567127567568,0.0999319583668205,125,0.205322306269787,"Lung","PD-L1"
"OS","CAMKK1","ICB_Ravi__Lung__PD-L1",0.0102518596961541,0.108564247085866,125,0.924766577153932,"Lung","PD-L1"
"OS","RECQL","ICB_Ravi__Lung__PD-L1",-0.0216650559812108,0.115164248017577,125,0.850780148875182,"Lung","PD-L1"
"OS","CCDC132","ICB_Ravi__Lung__PD-L1",-0.0191862847234982,0.105374612995637,125,0.855522363049861,"Lung","PD-L1"
"OS","HSPB6","ICB_Ravi__Lung__PD-L1",0.0967765770769514,0.123337955817463,125,0.432661420896678,"Lung","PD-L1"
"OS","ARHGAP33","ICB_Ravi__Lung__PD-L1",0.00544357239249748,0.10560225520207,125,0.958888949712583,"Lung","PD-L1"
